Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,8.9,1.0,13.1,77.0,-1.5,49.6
8000,17.3,2.9,23.9,55.9,-1.0,48.9
12000,23.9,5.3,45.8,25.0,-0.4,50.7
16000,19.9,7.7,50.3,22.1,-0.5,49.0
20000,8.6,4.9,34.5,52.0,-1.2,50.7
24000,4.1,0.9,28.5,66.5,-1.5,50.1
28000,2.0,1.2,23.6,73.2,-1.6,50.5
32000,1.4,2.1,22.5,73.9,-1.7,50.1
36000,3.2,2.2,23.5,71.0,-1.6,50.1
40000,4.0,0.9,22.1,72.9,-1.6,51.2
Min,1.4,0.9,13.1,22.1,-1.7,48.9
Max,23.9,7.7,50.3,77.0,-0.4,51.2
Mean,9.3,2.9,28.8,59.0,-1.3,50.1
