Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,13.4,0.9,11.3,74.4,-1.3,49.9
8000,20.0,2.9,33.5,43.6,-0.8,52.1
12000,30.1,27.1,21.4,21.3,0.2,50.0
16000,32.2,55.9,8.5,3.4,1.0,49.7
20000,31.1,61.6,3.7,3.6,1.1,50.0
24000,30.2,63.4,3.5,2.9,1.1,51.1
28000,30.7,63.5,2.8,3.0,1.2,50.2
32000,30.9,61.7,3.9,3.5,1.1,49.2
36000,31.7,62.7,2.4,3.3,1.2,49.4
40000,31.9,63.2,2.0,2.9,1.2,50.6
Min,13.4,0.9,2.0,2.9,-1.3,49.2
Max,32.2,63.5,33.5,74.4,1.2,52.1
Mean,28.2,46.3,9.3,16.2,0.6,50.2
