Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,0.0,1.6,31.7,66.7,-1.6,49.5
8000,0.0,15.4,26.9,57.8,-1.3,49.4
12000,0.0,67.2,11.9,21.0,0.1,48.4
16000,0.0,94.4,1.9,3.8,0.9,49.5
20000,0.0,94.3,2.0,3.6,0.9,49.5
24000,0.0,94.7,1.6,3.8,0.9,51.1
28000,0.0,93.8,1.9,4.2,0.8,50.3
32000,0.0,93.9,2.2,3.9,0.8,49.7
36000,0.0,93.8,1.6,4.6,0.8,50.1
40000,0.0,93.6,1.9,4.5,0.8,49.2
Min,0.0,1.6,1.6,3.6,-1.6,48.4
Max,0.0,94.7,31.7,66.7,0.9,51.1
Mean,0.0,74.3,8.4,17.4,0.3,49.7
