Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,11.3,0.6,13.2,74.8,-1.4,48.9
8000,30.4,1.6,18.4,49.6,-0.5,50.4
12000,60.9,2.0,20.9,16.2,0.7,49.6
16000,77.8,2.4,17.6,2.2,1.4,49.4
20000,83.8,1.8,12.6,1.8,1.5,50.5
24000,85.2,1.4,11.4,1.9,1.6,50.5
28000,85.0,1.2,11.8,1.9,1.6,51.2
32000,86.1,1.8,10.2,2.0,1.6,50.9
36000,86.6,1.4,9.5,2.5,1.6,50.7
40000,86.8,1.4,9.9,1.9,1.6,49.5
Min,11.3,0.6,9.5,1.8,-1.4,48.9
Max,86.8,2.4,20.9,74.8,1.6,51.2
Mean,69.4,1.6,13.5,15.5,1.0,50.2
