Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,10.6,0.9,13.2,75.3,-1.4,50.6
8000,29.2,2.0,16.6,52.2,-0.6,50.4
12000,64.4,2.3,16.9,16.4,0.8,48.6
16000,81.2,2.5,14.4,1.9,1.5,49.1
20000,83.8,2.1,12.1,2.0,1.5,51.1
24000,83.8,2.5,11.8,2.0,1.5,51.7
28000,83.9,2.5,11.6,2.0,1.5,50.1
32000,85.4,2.7,9.6,2.3,1.6,50.9
36000,85.9,2.1,9.7,2.2,1.6,50.0
40000,87.0,2.4,9.0,1.6,1.6,49.1
Min,10.6,0.9,9.0,1.6,-1.4,48.6
Max,87.0,2.7,16.9,75.3,1.6,51.7
Mean,69.5,2.2,12.5,15.8,1.0,50.2
