Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,12.8,0.8,12.7,73.7,-1.3,49.0
8000,12.0,6.2,37.4,44.5,-1.0,49.6
12000,14.7,39.2,24.9,21.2,0.0,48.8
16000,10.4,74.4,11.8,3.5,0.8,49.8
20000,4.1,86.9,5.7,3.3,0.8,48.5
24000,3.1,88.9,4.6,3.5,0.8,51.0
28000,1.5,91.8,2.6,4.0,0.8,50.8
32000,0.9,92.7,1.8,4.5,0.8,50.6
36000,0.3,94.0,1.8,3.9,0.9,50.6
40000,2.5,90.8,3.0,3.7,0.9,49.9
Min,0.3,0.8,1.8,3.3,-1.3,48.5
Max,14.7,94.0,37.4,73.7,0.9,51.0
Mean,6.2,66.6,10.6,16.6,0.4,49.8
