Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,8.1,1.2,13.8,77.0,-1.5,49.3
8000,16.2,4.4,22.3,57.1,-1.0,50.1
12000,23.1,14.4,33.6,28.9,-0.3,49.2
16000,19.1,15.6,33.5,31.8,-0.4,49.3
20000,8.5,7.9,25.7,57.8,-1.2,51.1
24000,7.7,7.5,21.9,62.9,-1.2,49.2
28000,10.2,10.2,23.0,56.6,-1.1,49.5
32000,9.2,8.5,26.5,55.8,-1.1,51.9
36000,6.8,7.2,24.2,61.9,-1.3,50.1
40000,8.0,4.0,24.1,64.0,-1.3,49.7
Min,6.8,1.2,13.8,28.9,-1.5,49.2
Max,23.1,15.6,33.6,77.0,-0.3,51.9
Mean,11.7,8.1,24.9,55.4,-1.0,49.9
