Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,7.1,1.1,13.6,78.2,-1.5,50.1
8000,11.3,4.0,21.6,63.0,-1.2,50.1
12000,10.2,8.2,24.9,56.7,-1.1,50.5
16000,6.1,8.2,20.0,65.7,-1.3,49.0
20000,3.1,3.0,13.0,80.8,-1.7,49.3
24000,2.9,0.2,10.1,86.8,-1.8,50.2
28000,0.9,0.1,10.2,88.8,-1.9,50.2
32000,0.1,1.1,8.7,90.0,-1.9,50.3
36000,0.1,1.6,9.4,88.8,-1.9,50.4
40000,0.3,1.8,13.2,84.8,-1.8,50.0
Min,0.1,0.1,8.7,56.7,-1.9,49.0
Max,11.3,8.2,24.9,90.0,-1.1,50.5
Mean,4.2,2.9,14.5,78.4,-1.6,50.0
