Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,12.5,1.0,11.9,74.6,-1.4,51.8
8000,13.4,4.5,38.0,44.0,-0.9,49.0
12000,15.4,40.0,24.1,20.4,0.1,47.9
16000,11.5,71.7,13.0,3.8,0.7,49.1
20000,5.5,83.5,6.9,4.0,0.8,51.1
24000,3.2,87.8,4.9,4.0,0.8,50.3
28000,1.1,92.3,2.9,3.6,0.8,50.0
32000,2.7,90.3,3.7,3.2,0.9,49.7
36000,1.9,91.5,2.9,3.8,0.8,50.7
40000,3.6,87.4,5.2,3.8,0.8,50.1
Min,1.1,1.0,2.9,3.2,-1.4,47.9
Max,15.4,92.3,38.0,74.6,0.9,51.8
Mean,7.1,65.0,11.4,16.5,0.3,50.0
