Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,11.7,0.9,12.3,75.0,-1.4,49.7
8000,36.5,2.7,12.5,48.3,-0.3,50.1
12000,72.7,3.8,8.3,15.2,1.1,50.1
16000,88.2,3.8,6.0,2.0,1.7,49.4
20000,88.5,3.7,6.0,1.7,1.7,48.8
24000,87.3,4.2,6.3,2.2,1.7,48.2
28000,88.5,4.7,4.8,2.0,1.7,49.4
32000,89.1,3.6,5.1,2.1,1.7,50.3
36000,89.6,4.2,4.0,2.1,1.8,50.6
40000,89.6,4.0,4.2,2.2,1.7,51.1
Min,11.7,0.9,4.0,1.7,-1.4,48.2
Max,89.6,4.7,12.5,75.0,1.8,51.1
Mean,74.2,3.6,7.0,15.3,1.1,49.8
