Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,13.4,0.8,10.7,75.2,-1.3,48.9
8000,18.1,3.7,32.4,45.8,-0.8,50.6
12000,28.8,29.8,20.4,21.1,0.2,48.9
16000,32.4,54.9,9.4,3.3,1.0,48.5
20000,31.3,61.8,3.9,3.1,1.1,49.1
24000,31.6,61.7,3.2,3.4,1.1,49.2
28000,29.9,63.2,2.8,4.0,1.1,49.6
32000,31.4,61.2,3.6,3.8,1.1,50.0
36000,31.0,62.4,3.0,3.6,1.1,48.8
40000,30.7,62.6,2.8,3.8,1.1,49.1
Min,13.4,0.8,2.8,3.1,-1.3,48.5
Max,32.4,63.2,32.4,75.2,1.1,50.6
Mean,27.9,46.2,9.2,16.7,0.6,49.3
