Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,0.0,1.1,30.5,68.4,-1.7,50.8
8000,0.0,11.1,33.9,55.0,-1.3,49.5
12000,0.0,64.3,14.6,21.1,0.1,51.5
16000,0.0,94.1,2.0,3.9,0.8,49.9
20000,0.0,93.9,2.1,4.0,0.8,50.0
24000,0.0,94.2,1.6,4.2,0.8,49.5
28000,0.0,94.6,1.8,3.6,0.9,48.7
32000,0.0,93.7,2.1,4.2,0.8,51.0
36000,0.0,93.6,1.8,4.6,0.8,50.0
40000,0.0,93.9,2.0,4.1,0.8,49.4
Min,0.0,1.1,1.6,3.6,-1.7,48.7
Max,0.0,94.6,33.9,68.4,0.9,51.5
Mean,0.0,73.5,9.2,17.3,0.3,50.0
