Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,11.7,0.9,12.1,75.2,-1.4,50.5
8000,18.0,4.3,32.2,45.5,-0.8,49.2
12000,28.0,33.9,17.6,20.6,0.3,49.4
16000,33.8,52.1,9.9,4.2,1.0,49.7
20000,33.4,58.1,5.5,3.0,1.1,50.3
24000,32.2,59.8,4.0,4.0,1.1,49.9
28000,31.1,62.7,2.8,3.3,1.2,51.5
32000,31.0,63.0,2.4,3.6,1.2,49.6
36000,32.0,61.7,2.8,3.5,1.2,48.8
40000,31.8,62.9,1.9,3.5,1.2,49.7
Min,11.7,0.9,1.9,3.0,-1.4,48.8
Max,33.8,63.0,32.2,75.2,1.2,51.5
Mean,28.3,45.9,9.1,16.6,0.6,49.9
