Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,11.4,0.7,12.6,75.4,-1.4,51.1
8000,32.3,1.6,15.5,50.6,-0.5,49.1
12000,66.0,2.6,15.1,16.4,0.9,49.7
16000,82.7,3.1,12.2,2.0,1.5,48.2
20000,84.1,2.9,10.7,2.3,1.6,51.3
24000,86.6,3.0,8.3,2.2,1.6,49.6
28000,87.3,2.7,8.1,1.9,1.7,49.6
32000,88.6,2.7,6.7,2.0,1.7,50.0
36000,88.2,2.6,7.2,2.0,1.7,49.0
40000,89.1,2.3,6.8,1.9,1.7,50.6
Min,11.4,0.7,6.7,1.9,-1.4,48.2
Max,89.1,3.1,15.5,75.4,1.7,51.3
Mean,71.6,2.4,10.3,15.7,1.0,49.8
