Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,0.0,1.4,29.9,68.7,-1.7,50.1
8000,0.0,13.6,30.4,56.0,-1.3,49.4
12000,0.0,65.2,12.2,22.6,0.1,49.1
16000,0.0,94.7,1.9,3.4,0.9,50.5
20000,0.0,94.7,1.6,3.7,0.9,49.1
24000,0.0,94.1,1.8,4.0,0.8,51.3
28000,0.0,94.3,1.9,3.8,0.8,48.3
32000,0.0,93.7,2.1,4.2,0.8,48.7
36000,0.0,94.2,1.8,4.0,0.8,48.9
40000,0.0,94.1,1.9,4.0,0.8,49.9
Min,0.0,1.4,1.6,3.4,-1.7,48.3
Max,0.0,94.7,30.4,68.7,0.9,51.3
Mean,0.0,74.0,8.6,17.4,0.3,49.5
