Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,10.3,1.1,12.3,76.4,-1.4,48.5
8000,35.1,1.8,13.4,49.7,-0.4,50.0
12000,70.0,2.9,10.8,16.2,1.0,47.7
16000,89.0,3.4,5.7,1.9,1.7,51.2
20000,88.5,3.9,5.3,2.3,1.7,49.6
24000,89.4,4.5,3.9,2.2,1.8,49.8
28000,88.7,5.0,4.1,2.2,1.7,48.7
32000,89.7,4.4,4.1,1.8,1.8,51.2
36000,90.3,3.9,3.7,2.1,1.8,50.2
40000,91.1,3.8,3.2,1.9,1.8,48.8
Min,10.3,1.1,3.2,1.8,-1.4,47.7
Max,91.1,5.0,13.4,76.4,1.8,51.2
Mean,74.2,3.5,6.6,15.7,1.1,49.6
