Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,10.9,1.1,12.7,75.4,-1.4,49.4
8000,34.1,3.0,12.8,50.2,-0.4,49.9
12000,69.5,4.1,9.3,17.1,1.0,50.4
16000,87.8,3.7,6.5,1.9,1.7,50.8
20000,88.7,3.6,5.4,2.3,1.7,48.6
24000,89.6,4.0,4.1,2.3,1.7,51.0
28000,90.9,4.0,3.0,2.1,1.8,49.9
32000,90.4,4.2,3.3,2.1,1.8,50.5
36000,90.8,4.2,3.0,1.9,1.8,49.8
40000,91.2,3.6,2.8,2.5,1.8,50.9
Min,10.9,1.1,2.8,1.9,-1.4,48.6
Max,91.2,4.2,12.8,75.4,1.8,51.0
Mean,74.4,3.5,6.3,15.8,1.1,50.1
